"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"829","Kil Son-hui","North Korea",2,0,"2007-09-11","2007-09-11","🇰🇵"
"830","Kim Do-yeon","Nigeria",2,0,"2019-06-12","2019-06-12","🇳🇬"
"831","Kim Soo-yun","South Korea",2,0,"2015-06-17","2015-06-17","🇰🇷"
"832","Kim Yong-ae","North Korea",2,0,"2007-09-11","2007-09-11","🇰🇵"
"833","Kirsty Yallop","New Zealand",2,0,"2008-08-06","2008-08-06","🇳🇿"
"834","Korbin Albert","United States",2,0,"2024-07-31","2024-07-31","🇺🇸"
"835","Kristina Maksuti","Albania",2,0,"2024-04-09","2024-04-09","🇦🇱"
"836","Kristína Košíková","Slovakia",2,0,"2024-07-16","2024-07-16","🇸🇰"
"837","Ksenia Tsybutovich","Russia",2,0,"2009-08-28","2009-08-28","🇷🇺"
"838","Lara Dickenmann","Switzerland",2,0,"2017-07-22","2017-07-22","🇨🇭"
"839","Laura Bassett","England",2,0,"2013-07-12","2013-07-12","🇬🇧"
"840","Laura Bassett","Japan",2,0,"2015-07-01","2015-07-01","🇯🇵"
"841","Lauren Colthorpe","Australia",2,0,"2007-09-23","2007-09-23","🇦🇺"
"842","Lene Terp","Denmark",2,0,"1997-07-03","1997-07-03","🇩🇰"
"843","Leni Larsen Kaurin","Norway",2,0,"2008-08-06","2008-08-06","🇳🇴"
"844","Lin Mei-chun","Taiwan",2,0,"1991-11-21","1991-11-21","🇹🇼"
"845","Linda Motlhalo","South Africa",2,0,"2023-07-28","2023-07-28","🇿🇦"
"846","Linda Sembrant","Germany",2,0,"2016-08-19","2016-08-19","🇩🇪"
"847","Lisbet Kolding","Denmark",2,0,"1991-11-19","1991-11-19","🇩🇰"
"848","Louise Waller","Germany",2,0,"1995-02-23","1995-02-23","🇩🇪"
"849","Maiken Pape","Denmark",2,0,"2009-08-26","2009-08-26","🇩🇰"
"850","Manon Melis","Netherlands",2,0,"2009-08-29","2009-08-29","🇳🇱"
"851","Manuela Paví","Colombia",2,0,"2024-07-25","2024-07-25","🇨🇴"
"852","Manuela Vanegas","Colombia",2,0,"2023-07-30","2023-07-30","🇨🇴"
"853","Marcela Restrepo","Colombia",2,0,"2024-07-28","2024-07-28","🇨🇴"
"854","Margunn Haugenes","Norway",2,0,"2000-09-20","2000-09-20","🇳🇴"
"855","Maria Farrugia","Malta",2,0,"2024-06-04","2024-07-16","🇲🇹"
"856","Mariam Toloba","Belgium",2,0,"2024-12-03","2024-12-03","🇧🇪"
"857","Mariann Gajhede Knudsen","Denmark",2,0,"2013-07-10","2013-07-25","🇩🇰"
"858","Mary McAteer","Wales",2,0,"2024-07-16","2024-07-16","🇬🇧"
"859","María José Urrutia","Chile",2,0,"2019-06-20","2019-06-20","🇨🇱"
